2025-11-11 11:44:41,422 - MainThread - INFO - ✓ GPU memory growth enabled for 1 device(s)
2025-11-11 11:44:41,422 - MainThread - INFO - 
=== Experiment 1/1: 200_2 ===
2025-11-11 11:44:41,599 - MainThread - INFO - Loaded data shape: X=(9799368, 4), y=(9799368, 1)
2025-11-11 11:48:13,677 - MainThread - INFO - Adjusting weights at epoch 80: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:48:13,910 - MainThread - INFO - Adjusting weights at epoch 80: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:48:14,142 - MainThread - INFO - Adjusting weights at epoch 80: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:48:14,367 - MainThread - INFO - Adjusting weights at epoch 80: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:48:37,880 - MainThread - INFO - [200_2] Epoch 90/200 | Avg Loss: 4.0639e+00 (Data=4.249e-01, PDE=8.266e+14, BC=1.975e+05, IC=6.089e+02)
2025-11-11 11:48:38,003 - MainThread - INFO - Adjusting weights at epoch 90: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:48:38,237 - MainThread - INFO - Adjusting weights at epoch 90: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:48:38,468 - MainThread - INFO - Adjusting weights at epoch 90: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:48:38,699 - MainThread - INFO - Adjusting weights at epoch 90: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:48:38,932 - MainThread - INFO - Adjusting weights at epoch 90: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:48:39,164 - MainThread - INFO - Adjusting weights at epoch 90: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:48:39,397 - MainThread - INFO - Adjusting weights at epoch 90: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:49:03,577 - MainThread - INFO - [200_2] Epoch 100/200 | Avg Loss: 4.0686e+00 (Data=4.856e-01, PDE=8.575e+14, BC=1.985e+05, IC=6.121e+02)
2025-11-11 11:49:03,696 - MainThread - INFO - Adjusting weights at epoch 100: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:49:03,927 - MainThread - INFO - Adjusting weights at epoch 100: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
2025-11-11 11:49:04,159 - MainThread - INFO - Adjusting weights at epoch 100: w_data=0.01, w_pde=0, w_bc=0, w_ic=0.01
